run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,rep,region,model
477,1,3,2.69E-05,124.0858031,0.044442166,na,0.017854294,ins,1,sel,1029189.109,0,CDS,sel_v_neu_continuous
477,1,3,0.000152361,118.9701672,0.452691433,na,0.014530547,del,1,sel,1029189.109,0,CDS,sel_v_neu_continuous
454,1,3,1.64E-05,na,na,2.861991361,0.018457491,ins,1,sel,1029195.817,0,CDS,sel_v_neu_2class
454,1,3,3.96E-05,na,na,-57.84090864,0.003170486,ins,2,sel,1029195.817,0,CDS,sel_v_neu_2class
454,1,3,4.49E-05,na,na,-1.110091777,0.013043596,del,1,sel,1029195.817,0,CDS,sel_v_neu_2class
454,1,3,0.000148871,na,na,-56.87993594,0.003253042,del,2,sel,1029195.817,0,CDS,sel_v_neu_2class
123,1,3,2.43E-05,na,na,0.278848225,0.034975653,ins,1,sel,1029175.354,0,CDS,sel_v_neu_1class
123,1,3,8.31E-05,na,na,-3.58657463,0.013605252,del,1,sel,1029175.354,0,CDS,sel_v_neu_1class
123,1,3,0.000735756,na,na,0,0,ins,1,neu,1029175.354,0,CDS,sel_v_neu_1class
123,1,3,0.001167977,na,na,0,0.035376677,del,1,neu,1029175.354,0,CDS,sel_v_neu_1class
115,1,3,0.000719776,447.4021216,1.087446442,na,0.061266946,ins,1,sel,1028273.466,0,CDS,sel_v_neu_continuous_equal_t
115,1,3,0.001142001,329.0297492,1.015447212,na,0.051388142,del,1,sel,1028273.466,0,CDS,sel_v_neu_continuous_equal_t
333,1,3,1.02E-05,na,na,10,0,ins,1,sel,1029025.375,0,CDS,sel_v_neu_2class_equal_t
333,1,3,0.000715679,na,na,-250,0.01331224,ins,2,sel,1029025.375,0,CDS,sel_v_neu_2class_equal_t
333,1,3,2.90E-05,na,na,0.865706982,0,del,1,sel,1029025.375,0,CDS,sel_v_neu_2class_equal_t
333,1,3,0.001127787,na,na,-250,0.009931463,del,2,sel,1029025.375,0,CDS,sel_v_neu_2class_equal_t
422,1,3,0.000705895,na,na,-96.32002153,0.095979484,ins,1,sel,1025773.248,0,CDS,sel_v_neu_1class_equal_t
422,1,3,0.001118442,na,na,-69.98445184,0.053912151,del,1,sel,1025773.248,0,CDS,sel_v_neu_1class_equal_t
422,1,3,0.000705895,na,na,0,0,ins,1,neu,1025773.248,0,CDS,sel_v_neu_1class_equal_t
422,1,3,0.001118442,na,na,0,0.03541257,del,1,neu,1025773.248,0,CDS,sel_v_neu_1class_equal_t